title,description,speakers,Session length,topics,room,time_start,duration,time_end
From Raw Logs to Model Inference: Building a DGA Detection ML Pipeline with Beam,"Defending the Garden State, one pipeline at a time. In cybersecurity, speed is the ultimate currency, and manual detection simply can’t keep up with the velocity of modern malware. To bridge this gap, the NJCCIC developed an automated, ML-powered detection engine that analyzes ~700,000 domains daily, moving beyond a reliance on third-party threat feeds to identify ephemeral command-and-control channels in real-time. At the core of this defense, we leverage Apache Beam to orchestrate a high-throughput feature engineering engine, extracting 17 distinct lexical and statistical features—from Shannon entropy to bigram probabilities—across a massive 30-million-sample training set. By utilizing Beam’s ability to unify complex data transformation with production-scale inference, we’ve successfully deployed an ensemble of Random Forest and biologically-inspired NEAT (NeuroEvolution of Augmenting Topologies) models.","Aditya Patil, Raniya Rehman",Short Talk (25 min),Unified Data Processing with ML Integration,Pitch Pine,2026-06-22 15:00:00,30,2026-06-22 15:30:00
Building a Real-Time Identity Graph:  Beam + Cloud Spanner for Multi-Tenant Customer Resolution,"Processing billions of monthly events across dozens of marketing clients requires resolving fragmented user identities in near real-time. This talk covers how we built a multi-tenant identity graph system using Apache Beam on Dataflow and Google Cloud Spanner - including composite match key design, weighted conflict resolution across disparate signal sources (ad platforms, first-party data, server-side events), and the Beam pipeline architecture for continuous ingest and deduplication. We'll share lessons on schema design trade-offs, handling late-arriving data in identity merges, and how this foundation powers downstream ML models for predicted lifetime value.

I have submitted another 25 minute session. I can combine the two into a single session if needed.",Jonathan Sudhakar,Short Talk (25 min),"Unified Data Processing with ML Integration, Ecosystem and Community with Modern Data Tools, Scalability and Performance with Optimized Storage",Pitch Pine,2026-06-22 15:45:00,30,2026-06-22 16:15:00
Introducing a Modern SQL Experience in Apache Beam,"For a long time, Beam SQL lagged behind other frameworks like Spark or Flink because it lacked support for any hierarchical metadata management.
This point of friction limited Beam SQL’s interoperability, scalability, and ease of use within modern data architectures.

No more!
In this session, we’ll dive into the evolution of the Beam SQL story, introducing:
- A New Catalog and Database Hierarchy, enabling centralized metadata management and data environment segregation
- Seamless Cross-Catalog Queries, allowing joins and data movement across different catalogs and databases with ease
- Standardized DDL Support (CREATE, SHOW, ALTER, DROP, USE), bringing Beam in line with the industry-standard SQL experience

We’ll end with a demo in a multi-catalog environment, demonstrating how these new features allow for a more intuitive, powerful, and ""SQL-native"" developer workflow in Beam.",Ahmed Abualsaud,Short Talk (25 min),Emerging Trends (AI/ML and Lakehouse Architectures),Hackberry,2026-06-22 15:45:00,30,2026-06-22 16:15:00
Scaling near-duplicate detection using Apache Beam,"Abstract
Deduplicating trillion-token corpora is a critical requirement for modern LLM pre-training, yet it remains a significant engineering bottleneck. Traditional approaches often rely on fragmented pipelines—massive batch jobs for historical cleaning paired with separate, lightweight scripts for real-time ingestion. This fragmentation leads to logic drift, where signatures generated in the stream may not align with batch history, creating inconsistencies that are difficult to debug.

This session presents a fully native Apache Beam implementation of the MinHash Locality-Sensitive Hashing (LSH) algorithm. We demonstrate a Unified Architecture that uses a single Java codebase to handle both large-scale ""Batch Bootstrapping"" and low-latency streaming workflows.

Key Technical Takeaways:

Multi-Level Parallelism: Decomposing MinHash LSH into document-level, element-level, and global-level parallel transforms within Beam.

Unified State: Implementing an external ""Global Memory"" using high-throughput state stores to bridge the gap between processing modes.

Hardware Density: Offloading compute-intensive hashing to TPUs via Dataflow to drastically reduce the cost-per-token processed.

Reusable Components: Deploying low-latency membership inference to prevent ""corpus poisoning"" during live web crawls by reusing identical batch logic.

We will conclude with a live demonstration using the Common Crawl dataset, showcasing the pipeline's ability to intercept near-duplicate documents in real-time with zero logic drift.",Pablo Rodriguez Defino,Short Talk (25 min),Unified Data Processing with ML Integration,Pitch Pine,2026-06-22 16:15:00,30,2026-06-22 16:45:00
"Trust, But Verify: Petabyte scale validations using Beam & Dataflow","Migrating massive, mission-critical databases across heterogeneous systems is inherently terrifying because customers don't just hope for a successful migration — they demand 100% data integrity.
In this talk, we will explore why Cloud Spanner chose Apache beam & Dataflow to implement scaled out data validation for customers migrating to Spanner. We will dig into how beam helps simplifies executing complex data processing at scale, and how Dataflow reduces time-to-market by providing a stable, scaled out beam runner. ",Manit Gupta,Short Talk (25 min),Scalability and Performance with Optimized Storage,Hackberry,2026-06-22 16:15:00,30,2026-06-22 16:45:00
Evolution of the broad Beam Streaming IO Ecosystem towards production readiness,"While Beam websites listed 30+ built-in IO connectors supporting streaming, the status (resilience, scalability, performance, etc) of each IO connectors is not equal. This session highlights recent improvements for selected Beam Streaming IO connectors that have indicated gaps between user demand and status quo in Beam, including Debezium, Jms, Mqtt, and Pulsar. We discusses how each connector went from ""Day 1"" existence to ""Day 2"" resilience, and with remarks on facilitating community engagements on Beam IO Ecosystem.",Yi Hu,Short Talk (25 min),Ecosystem and Community with Modern Data Tools,Pitch Pine,2026-06-23 10:30:00,30,2026-06-23 11:00:00
From Prompts to Pipelines: Scaling Data Engineering via Agent Skills,"The ""Beam Model"" is incredibly powerful, but its complexity—balancing windowing, triggers, and stateful processing—often creates a steep learning curve. In the era of agentic development, we are moving beyond simple AI code completion toward a world of Agent Skills: modular, grounded capabilities that allow AI agents to act as specialized data engineers.

In this session, we explore how to build and deploy specific Agent Skills tailored for Apache Beam using modern tools like Claude Code, Cursor, and custom agentic frameworks. We will shift the focus from ""writing code"" to ""orchestrating capabilities,"" demonstrating how these skills can automate the most nuanced parts of the development lifecycle.

Key areas of focus:

Encoding the Beam Model into Skills: How to build specialized skills that ""understand"" the nuances of PTransforms, Watermarks, and SideInputs to prevent common architectural anti-patterns.

Optimize Skill: Using agents to analyze Dataflow execution graphs and autonomously suggest performance tuning or cost-optimization fixes.

Agentic Testing Skills: Streamlining the creation of robust unit tests and TestStream scenarios to ensure pipeline reliability before deployment.

Skills in Action: A look at how a multi-agent workflow—using a suite of coordinated Beam Skills—can take a natural language requirement and turn it into a production-ready, multi-language pipeline.

By treating Beam expertise as a set of Agent Skills, we can lower the barrier to entry for new developers and allow seasoned experts to focus on high-level architecture rather than boilerplate logic.","Canburak Tümer, Israel Herraiz","Short Talk (25 min), Long Talk (50 min)","Agentic Architectures, Emerging Trends (AI/ML and Lakehouse Architectures)",Hackberry,2026-06-23 10:30:00,50,2026-06-23 11:20:00
Zero-Copy Iceberg Migrations with Apache Beam,"Traditionally, converting a Parquet-based data lake to Iceberg required a hidden tax of rewriting every single data file. For organizations managing petabyte-scale datasets, this compute overhead and the associated cloud bill are often dealbreakers.

This talk introduces a more efficient path using Apache Beam’s new AddFiles feature to perform zero-copy migrations, registering existing Parquet files directly into an Iceberg table without moving a single byte.

In this session, we’ll explore:
- A practical framework for modernizing your lakehouse with minimal compute overhead.
- Live demos showcasing (1) the Batch approach for migrating historical data and (2) the Streaming approach for registering incoming files in real-time
- A decision matrix for choosing between tradition rewrites and zero-copy registration",Ahmed Abualsaud,Short Talk (25 min),Emerging Trends (AI/ML and Lakehouse Architectures),Pitch Pine,2026-06-23 11:00:00,30,2026-06-23 11:30:00
Scale Smarter: RateLimiting AI Inference at Dataflow Scale,"Scaling AI inference across thousands of workers to maximize throughput is a flagship feature of Apache Beam. However, this massive parallelism often collides head-on with strict external API quotas (e.g., Vertex AI, OpenAI).

To bridge this gap, we've introduced a Proactive Global RateLimiter for Apache Beam. Integrated directly into the RunInference transform and also made it available for custom DoFn's. It moves quota management from reactive retry storms to proactive pacing.

This talk will explore how Beam coordinates rate limits across dispersed workers and communicates dynamic back pressure to the Runner Autoscaler to prevent compute waste. Attendees can expect to come away with an understanding of how global rate limiting works in distributed environments, how the autoscaler responds to rate signals, and how they can use Beam to scale their usecases safely without overwhelming external services.",Tarun Annapareddy,Short Talk (25 min),"Unified Data Processing with ML Integration, Scalability and Performance with Optimized Storage",Pitch Pine,2026-06-23 11:30:00,30,2026-06-23 12:00:00
'Beam'-ing Iceberg Tables Across Environments Using Project Nessie,"At Wells Fargo, we delve into our approach for backing up and synchronizing Apache Iceberg tables across environments using Project Nessie as a catalog-level control plane and Apache Beam as the unified replication engine. By combining object storage replication with Nessie's Git-like metadata versioning, orchestrated through a single Beam pipeline. We demonstrate how production Iceberg tables can be continuously mirrored into non-production catalogs without low-level database syncs.
The architecture consists of two coordinated replication layers, implemented as a unified Apache Beam pipeline:
1. Storage-Layer Replication
A Beam pipeline reads all Iceberg table data that's in Parquet file format along with Metadata files like manifests, and metadata JSON directly from production S3 and writes to non-production S3. Beam's parallel execution model handles fan-out across thousands of tables efficiently, replacing ad-hoc tooling like rclone or distcp with a testable, portable, and observable pipeline.
2. Catalog-Layer Replication with Nessie, Powered by Beam, Not Raw MongoDB Sync
Rather than directly synchronizing Nessie's underlying MongoDB collections (objs2, refs2), an approach that is fragile, version-sensitive, and opaque, we use Apache Beam as an abstraction layer that operates at the Nessie API level. 
The Beam pipeline:
-> Polls the production Nessie instance for new commits and snapshot changes via the Nessie REST API
-> Extracts the relevant branch, tag, and table metadata
-> Applies those changes to the non-production Nessie instance in a controlled, auditable sequence

This means replication is driven by Nessie's own versioning semantics rather than internal MongoDB implementation details making the approach more resilient to Nessie upgrades. 
A Unified Pipeline with Batch and Streaming Modes
Both layers run within the same Beam pipeline, giving us a single model for two distinct operational needs. In streaming mode, the pipeline continuously watches for new Nessie commits and triggers incremental storage and catalog replication, keeping non-production environments near-current with production. In batch mode, the same pipeline handles full environment bootstrapping or point-in-time recovery to a specific Nessie snapshot. Beam's runner portability was essential in our regulated environment: pipelines are developed and validated locally using the Direct Runner before being deployed to our Spark cluster via the Spark Runner, without any rewrite.
Once completed, the non-production Nessie catalog becomes a true, API-level mirror of production. 
We will share practical lessons learned, including Nessie API pagination at scale, handling Beam pipeline failures mid-replication, and ensuring catalog consistency when storage and metadata sync are not atomic.",Vineel Arekapudi,Long Talk (50 min),"Emerging Trends (AI/ML and Lakehouse Architectures), Scalability and Performance with Optimized Storage",Hackberry,2026-06-23 11:30:00,50,2026-06-23 12:20:00
"Maximizing Performance, Reliability, and Scalability with Dataflow Streaming","This session explores recent innovations that enhance pipeline scalability, reliability, and availability. We will cover key updates in autoscaling, high availability, and reliability, alongside progress in streaming ML and IO excellence. Attendees will discover how these enhancements facilitate the building of robust, next-generation streaming architectures.","Tom Stepp, Ryan Wigglesworth",Short Talk (25 min),"Real-time ML-Driven Data Insights, Scalability and Performance with Optimized Storage, Ecosystem and Community with Modern Data Tools, Emerging Trends (AI/ML and Lakehouse Architectures)",Pitch Pine,2026-06-23 12:00:00,30,2026-06-23 12:30:00
When Fast Is Too Fast: Throughput Control Patterns in Apache Beam on Dataflow,"Apache Beam and Google Cloud Dataflow are optimized for parallelism and autoscaling. In practice, that’s often exactly what we want, until it isn’t.

What happens when your streaming pipeline suddenly scales from 5 to 50 workers and overwhelms a downstream REST API? Or a legacy service enforces strict QPS limits? Beam provides powerful primitives for windowing, batching, and scaling — but it does not offer first-class global throughput control.

This talk explores advanced throughput control patterns specifically in the context of Apache Beam running on Google Cloud Dataflow.
",Josi Aranda,Short Talk (25 min),Scalability and Performance with Optimized Storage,Hackberry,2026-06-23 13:15:00,30,2026-06-23 13:45:00
Buffering Data by Timestamp: A Step Towards Time Series Processing in Beam,"Time series data is a foundational and ubiquitous format in modern big data applications, driving insights in fields ranging from user activity tracking to IoT sensor monitoring. While there is growing interest in processing time series data within Apache Beam, its inherently unordered and parallel execution model forces developers to implement complex custom logic to handle chronological events accurately.

In this talk, we explore the crucial first step of time series processing in Beam: buffering data in precise timestamp order to enable accurate downstream analysis. We will evaluate and compare various buffering approaches, weighing their trade-offs. Finally, we will demonstrate these concepts in action through a real-world anomaly detection use case utilizing the recently developed BigQuery CDC source.","Shunping Huang, Claude van der Merwe",Short Talk (25 min),"Unified Data Processing with ML Integration, Real-time ML-Driven Data Insights",Pitch Pine,2026-06-23 13:15:00,30,2026-06-23 13:45:00
"The Agent-Driven Pipeline: Real-Time Data Validation & Modeling using Apache Beam, MCP, and GenAI","Data pipelines need reliable quality checks, but hardcoded validation rules struggle to keep up with changing business needs. This session shows how to simplify data quality by using an AI agent to figure out the rules, and Apache Beam to do the heavy lifting of actually checking the data.

We will walk through a practical setup where an AI Data Validation Agent takes the lead. Using tools like Retrieval-Augmented Generation (RAG) and the Model Context Protocol (MCP), the agent reads your live data catalogs and governance rules to understand exactly what your data should look like today.

But the agent doesn't process the data itself. Instead, it automatically triggers Apache Beam (Dataflow) to run these custom checks. The agent translates the business rules into logic specifically built for Apache Beam, allowing Beam to do what it does best: process huge amounts of data efficiently.

What You Will See:

Smart Triggering: How an AI agent figures out what needs checking and automatically spins up Apache Beam pipelines exactly when they are needed.

Building Beam-Ready Rules: How the agent translates everyday business rules and data catalog metadata into SQL and validation steps that plug right into your Apache Beam workflow.

Distributed Execution: How Apache Beam takes the handoff from the agent, using its distributed processing power to check massive datasets for errors and schema changes quickly and reliably.","Jay Jayakumar, Pablo Costamagna",Long Talk (50 min),"Agentic Architectures, Unified Data Processing with ML Integration, Ecosystem and Community with Modern Data Tools",Hackberry,2026-06-23 13:45:00,50,2026-06-23 14:35:00
Zero-loss Spanner to BigQuery Redeployment,"Introducing a YAML-driven Dataflow Flex Template design enabling product teams to self-serve Spanner to BigQuery replication, supporting both current-state and append-only modes for analytics, downstream applications, and audit trails. This session focuses on streaming use cases.

In a federated deployment model where each product team owns and operates its own pipeline, redeployments emerged as a recurring risk event. None of Dataflow's existing restart mechanisms work perfectly for our use cases, leaving every redeployment risks data loss or duplicate data.

A proper fix belongs in Dataflow and SpannerIO. In the meantime, an interim solution has kept redeployments routine in production, with no data loss or duplication.

This session covers the problem, the approach, and the tradeoffs that remain.",Jiufeng Liu,Short Talk (25 min),Scalability and Performance with Optimized Storage,Pitch Pine,2026-06-23 13:45:00,25,2026-06-23 14:10:00
Closing the Loop: Powering Real-Time Clinical AI Automation with Apache Beam,"The ""last mile"" of healthcare AI is often the hardest: turning a model prediction into an actual clinical action. Azra AI uses Apache Beam to close this loop. By unifying data ingestion and AI/ML within Beam pipelines, we automate the identification and navigation of patients needing urgent care. 

In this talk, we’ll outline our architecture for deploying real-time streams with AI/ML predictions to provide clinicians with up-to-the-minute insights. We will discuss the challenges of processing unstructured clinical text and how Beam enables us to scale our automation to serve patients across diverse hospital networks.",Austin Bennett,Short Talk (25 min),"Unified Data Processing with ML Integration, Real-time ML-Driven Data Insights, Ecosystem and Community with Modern Data Tools",Pitch Pine,2026-06-23 14:10:00,30,2026-06-23 14:40:00
Agentic Beam YAML Pipelines for Real-Time Predictive Intelligence on Streaming Data,"This talk demonstrates how declarative Beam YAML pipelines, combined with LLM-powered agentic architectures, unlock real-time predictive intelligence on high-velocity sensor streams — using UAV flight telemetry as a live use case. We show how parameterized Beam YAML templates dynamically reconfigure processing logic at runtime without code changes, while AI agents perform anomaly detection, predictive trend analysis, preemptive failure reasoning, and adaptive alerting — all orchestrated within the pipeline itself. Attendees will learn practical patterns for embedding agentic workflows into Beam, wiring streaming data sources to ML inference transforms, and building pipelines that don't just react to problems but anticipate them. The session highlights how Beam's unified model powers the next generation of intelligent, self-reasoning data applications.",Charles Adetiloye,Short Talk (25 min),"Agentic Architectures, Real-time ML-Driven Data Insights, Unified Data Processing with ML Integration, Scalability and Performance with Optimized Storage",Pitch Pine,2026-06-23 14:40:00,30,2026-06-23 15:10:00
From Binary to Breach Detection: Normalizing OT and Mixed Logs for SecOps with Apache Beam,"Modern Security Operations Centers (SOCs) face a massive data problem: the ""Data Wall."" As IT, OT, and IoT environments converge, security teams are forced to ingest a chaotic mix of structured, unstructured, and even proprietary binary logs (such as S7 or Modbus) into their SIEM platforms. Traditional ingestion tools often fail when faced with the need for real-time normalization, massive scale, and complex data transformation.

In this session, we will explore how Apache Beam serves as the critical ""bridge"" in this ecosystem, enabling the transformation of disparate manufacturing and enterprise logs into a standardized Unified Data Model (UDM). Drawing from real-world implementations using Google Cloud Dataflow and SecOps (Chronicle), we will dive into:

Handling the ""Mixed Stream"" Challenge: How to use Beam to demultiplex and route mixed log types from a single Kafka or Pub/Sub source.

Decoding the Undecodable: Patterns for processing proprietary binary protocols and industrial equipment logs at scale.

Architecting for Reliability: Implementing Dead Letter Queues (DLQs) and rejected message sinks to ensure zero data loss during ingestion.

The Ingestion Decision Tree: A comparison of ingestion methods (API vs. GCS vs. Pub/Sub) and how to choose the right sink for your security requirements.

Attendees will leave with a blueprint for building resilient, scalable security data pipelines that turn raw industrial signals into actionable security intelligence.",Canburak Tümer,Short Talk (25 min),Ecosystem and Community with Modern Data Tools,Hackberry,2026-06-23 14:40:00,30,2026-06-23 15:10:00
