FirstName,LastName,title,designation,bio,twitter,linkedin
Aarohi,Tripathi,Aarohi Tripathi,"Senior Data Engineer, CVS Health",Aarohi currently works as a Senior Data Engineer at CVS Health. She builds data pipelines to capture product adoption metrics and then use this data to send out recommendations for the opportunity analytics. Previously she worked with Walmart for the Workforce Management and Contact CenterAnalytics teams building large scale data pipelines and capturing metrics using PowerBI and Tableau.,,https://www.linkedin.com/in/aarohitripathi/
Aditya,Saraf,Aditya Saraf,"Exabeam, Principal Software Engineer","I have worked in the cyber security industry for the last 5 years and for several years in the CRM industry before that. I am interested in distributed systems, scale and performance. I have developed detection engines for two different cyber security companies with Apache BEAM and Apache Kafka streams. ",,https://www.linkedin.com/in/adisaraf/
Kamal,Aboul-Hosn,Kamal Aboul-Hosn,Google Cloud Messaging Uber Tech Lead,"Kamal serves as the Uber Tech Lead for Google Cloud's Messaging products including Pub/Sub and Managed Service for Apache Kafka. He has over 15 years of experience working on critical infrastructure and highly scalable, reliable distributed systems. As a drummer for the last 35 years, he tries to break drumsticks more often than he breaks the internet.",,https://www.linkedin.com/in/kamalaboulhosn/
Rakesh,Kumar,Rakesh Kumar,Senior Staff Software Engineer @ Lyft,"Rakesh Kumar is a Senior Staff Software Engineer at Lyft, currently leading the Foundations Org (Machine Learning Platform, Realtime Feature Generation, Experimentation, and Growth Platform). He specializes in building and scaling platforms, especially in AI/ML ecosystems. He loves to share his knowledge and expertise through various conferences and engineering blog post",https://twitter.com/EngLife101,https://www.linkedin.com/in/rakeshkumar1007/
Naresh Kumar,Kotha,Naresh Kumar Kotha,Engineering Manager 2 Intuit Credit Karma,"Engineering manager at credit karma with 15+ years of in Software,Product, Data and AI , now I am leading teams focussed on data platforms powering AI and Recommendation systems at CK ",,
Kfir,Naftali,Kfir Naftali,CE -Data & Analytics Specialist - Google Cloud ,"Kfir Naftali, Google's Data & Analytics Specialist, excels in real-time/streaming architecture and data engineering. A keynote speaker, he empowers digital natives and startups with performance-tuned data solutions.",,https://www.linkedin.com/in/kfir-naftali/
Ryan,Wigglesworth,Ryan Wigglesworth,"Software Engineer, Google","Software Engineer at Google, working on Cloud Dataflow Streaming",,https://www.linkedin.com/in/ryan-wigg/
Venkatesh,Poosarla,Venkatesh Poosarla,"venkatesh poosarla,Senior Data Engineer","A seasoned data engineer with over a decade of experience building large-scale data systems that power machine learning applications. Specializes in Hadoop, Spark, and Dataflow technologies, implementing both streaming and batch processing solutions across advertising, fintech, and cybersecurity domains. Has architected data pipelines that process petabytes of data daily, enabling real-time ad targeting, fraud detection in financial transactions, and threat intelligence analysis. Currently focused on feature store implementations powering recommendation systems for Credit Karma, delivering personalized financial insights and offers to millions of users.",,https://www.linkedin.com/in/venkateshpoosarla/
Rajesh,Vayyala,Rajesh Vayyala,Data Architect,"Rajesh Vayyala is a seasoned Principal Data Architect and strategic leader in cloud data platforms, with over a decade of experience designing scalable, secure, and high-performance solutions across cloud and enterprise environments.

He brings deep expertise in data governance, modeling, and modern cloud architectures, helping organizations unlock business value, drive innovation, and streamline operations. Rajesh has successfully led complex data modernization initiatives, guiding enterprises in transitioning from legacy systems to cloud-native ecosystems that support real-time analytics, AI integration, and compliance.",,http://linkedin.com/in/rajeshvayyala
Steven,van Rossum,Steven van Rossum,"Software Engineer, Google Cloud Consulting","I am a software engineer/consultant at Google with 10 years of experience in data engineering. I've designed and built data platforms for numerous Google Cloud customers, collaborate with many customers of Google Cloud Dataflow, and occasionally contribute to Apache Beam.",,https://www.linkedin.com/in/sjvanrossum/
Joey,Tran,Joey Tran,Staff Software Engineer,"Joey Tran a Software Engineer at Schrödinger, where they've spent the past eight years developing scientific software tools for computational chemistry and drug discovery. Their work spans a wide range of projects, from user interface components in the Maestro platform—such as the Multiple Sequence Viewer—to large-scale enumeration workflows like R-group enumeration. With deep experience bridging usability and scientific complexity, they focus on building reliable, performant tools that empower researchers.

",,
